
			|Обычная вейвсеть				|Полиморфная вейвсеть
k2	|	S	|	n	|	M	|	dE	|	n	|	M	|	dE
1.500	|718.6~15.5	|20.0~5.3	|188.2~32.4	|0.000~0.000	|10.2~1.5	|581.9~71.2	|0.000~0.000
2.250	|327.5~6.7	|19.8~4.7	|173.7~22.5	|0.000~0.000	|11.3~2.1	|495.0~41.7	|0.000~0.000
3.375	|146.2~3.5	|19.2~3.5	|174.5~21.9	|0.000~0.000	|10.4~1.8	|400.5~30.2	|0.000~0.000
5.062	|64.1~1.6	|23.7~5.8	|140.1~21.2	|0.000~0.000	|11.9~2.3	|236.9~16.7	|0.002~0.004
7.594	|29.0~0.7	|28.8~7.1	|93.3~7.5	|0.000~0.000	|16.6~4.0	|123.3~8.9	|0.002~0.004
11.391	|12.8~0.3	|59.8~12.8	|56.8~4.3	|0.000~0.000	|32.5~10.3	|69.3~10.8	|0.003~0.005
17.086	|5.7~0.1	|101.0~23.8	|27.4~3.0	|0.000~0.000	|38.8~11.4	|30.0~3.6	|0.004~0.008
25.629	|2.5~0.0	|nan~nan	|14.5~1.7	|0.000~0.000	|nan~nan	|11.8~1.4	|0.066~0.124
38.443	|1.1~0.0	|nan~nan	|5.4~0.7	|0.108~0.217	|nan~nan	|5.3~0.6	|0.001~0.002
57.665	|0.5~0.0	|nan~nan	|2.3~0.3	|3.177~5.094	|nan~nan	|1.9~0.2	|1.018~0.818
